Order ID,Order Date,Customer Name,Segment,Region,State,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
ORD-10001,2025-10-16,Customer 142,Home Office,East,Bihar,Office Supplies,Art,Pens,3,0.1,6177.82,273.34
ORD-10002,2024-04-24,Customer 191,Corporate,West,Gujarat,Office Supplies,Paper,A4 Paper,10,0.1,17789.04,-1143.6
ORD-10003,2024-01-26,Customer 152,Corporate,West,Gujarat,Furniture,Bookcases,Wooden Bookcase,8,0.0,38621.12,3893.97
ORD-10004,2026-01-29,Customer 040,Consumer,North,Punjab,Technology,Accessories,Keyboard,1,0.1,3275.97,765.06
ORD-10005,2024-10-08,Customer 098,Corporate,West,Gujarat,Office Supplies,Art,Pens,2,0.2,6837.84,1568.35
ORD-10006,2024-09-07,Customer 192,Consumer,West,Rajasthan,Technology,Accessories,Headphones,4,0.05,12132.22,3385.78
ORD-10007,2024-08-16,Customer 012,Corporate,West,Maharashtra,Furniture,Bookcases,Wooden Bookcase,8,0.05,6955.44,1705.7
ORD-10008,2024-05-22,Customer 203,Consumer,North,Punjab,Office Supplies,Storage,Storage Box,3,0.1,3500.74,433.16
ORD-10009,2026-01-24,Customer 037,Consumer,South,Karnataka,Technology,Accessories,Keyboard,10,0.1,31026.24,7713.7
ORD-10010,2024-04-14,Customer 174,Home Office,West,Rajasthan,Office Supplies,Storage,Storage Box,1,0.1,4054.18,990.99
ORD-10011,2025-11-23, Customer 011 ,Corporate,South,Karnataka,Office Supplies,Storage,Storage Box,7,0.1,21940.0,4921.35
ORD-10012,2026-01-28,Customer 213,Home Office,West,Maharashtra,Technology,Laptops,Business Laptop,10,0.2,12398.16,325.86
ORD-10013,2026-07-02,Customer 074,Consumer,West,Gujarat,Technology,Accessories,Mouse,1,0.2,3649.62,360.66
ORD-10014,2025-07-12,Customer 175,Consumer,Central,Chhattisgarh,Technology,Accessories,Headphones,10,0.2,10624.56,2085.49
ORD-10015,2024-03-30,Customer 024,Corporate,North,Haryana,Furniture,Chairs,Ergonomic Chair,8,0.05,2002.52,367.76
ORD-10016,2025-08-27,Customer 070,Consumer,East,Bihar,Office Supplies,Paper,A4 Paper,3,0.05,11268.64,1252.02
ORD-10017,2025-03-08,Customer 058,Home Office,East,Odisha,Office Supplies,Art,Pens,2,0.0,4789.64,-140.47
ORD-10018,2024-02-02,Customer 173,Home Office,West,Rajasthan,Office Supplies,Paper,Notebook,1,0.0,1395.85,116.86
ORD-10019,2024-01-31,Customer 144,Corporate,East,Bihar,Office Supplies,Art,Pens,2,0.1,6132.06,-435.32
ORD-10020,2024-04-05,Customer 010,Corporate,Central,Madhya Pradesh,Furniture,Chairs,Ergonomic Chair,5,0.0,16406.35,-486.94
ORD-10021,2024-08-11,Customer 179,Home Office,West,Maharashtra,Technology,Phones,Smartphone,7,0.2,13007.96,3405.19
ORD-10022,2024-08-26,Customer 072,Consumer,West,Rajasthan,Furniture,Bookcases,Wooden Bookcase,7,0.1,20847.46,2952.73
ORD-10023,2025-06-01,Customer 166,Corporate,East,West Bengal,Office Supplies,Storage,File Cabinet,6,0.2,2816.83,147.15
ORD-10024,2025-09-08,Customer 153,Consumer,North,Punjab,Office Supplies,Paper,A4 Paper,8,0.0,4393.6,663.49
ORD-10025,2024-01-28,Customer 056,Consumer,North,Punjab,Technology,Phones,Smartphone,2,0.15,7082.39,-38.41
ORD-10026,2025-07-28,Customer 045,Consumer,East,West Bengal,Furniture,Chairs,Ergonomic Chair,3,0.15,,128.91
ORD-10027,2024-07-22,Customer 033,Home Office,North,Delhi,Technology,Laptops,Gaming Laptop,10,0.0,16864.8,261.95
ORD-10028,2026-01-03,Customer 028,Corporate,West,Rajasthan,Technology,Accessories,Headphones,8,0.05,17453.78,1828.56
ORD-10029,2025-10-27,Customer 123,Corporate,Central,Madhya Pradesh,Furniture,Chairs,Ergonomic Chair,8,0.0,26018.96,-1511.78
ORD-10030,2025-12-19,Customer 017,Consumer,West,Rajasthan,Technology,Laptops,Business Laptop,2,0.05,8562.18,1190.03
ORD-10031,2025-07-12,Customer 130,Home Office,East,Bihar,Furniture,Bookcases,Metal Bookcase,7,0.15,29593.4,774.26
ORD-10032,2025-03-05,Customer 212,Corporate,West,Maharashtra,Furniture,Chairs,Office Chair,7,0.0,16188.34,1116.56
ORD-10033,2024-08-13,Customer 040,Home Office,West,Gujarat,Furniture,Chairs,Ergonomic Chair,7,0.05,10848.61,593.94
ORD-10034,2025-04-04,Customer 034,Home Office,West,Maharashtra,Technology,Phones,Smartphone,7,0.2,3209.75,173.82
ORD-10035,2025-08-26,Customer 109,Home Office,North,Haryana,Furniture,Bookcases,Metal Bookcase,2,0.2,3380.74,874.96
ORD-10036,2024-10-11,Customer 124,Consumer,North,Punjab,Furniture,Tables,Conference Table,2,0.0,5863.6,-142.47
ORD-10037,2026-04-08,Customer 197,Home Office,North,Punjab,Furniture,Tables,Study Table,5,0.1,13108.91,2939.75
ORD-10038,2026-06-09,Customer 087,Corporate,Central,Madhya Pradesh,Furniture,Bookcases,Metal Bookcase,1,0.2,787.23,153.09
ORD-10039,2024-01-07,Customer 008,Consumer,North,Delhi,Technology,Accessories,Mouse,7,0.2,2469.43,365.33
ORD-10040,2026-02-16,Customer 199,Home Office,Central,Madhya Pradesh,Office Supplies,Storage,Storage Box,6,0.05,4966.47,892.84
ORD-10041,2026-04-05,Customer 170,Corporate,Central,Madhya Pradesh,Technology,Phones,Smartphone,10,0.0,3438.4,
ORD-10042,2024-06-12,Customer 029,Corporate,West,Rajasthan,Office Supplies,Storage,Storage Box,4,0.0,15196.88,672.65
ORD-10043,2025-12-15,Customer 053,Corporate,Central,Chhattisgarh,Furniture,Bookcases,Metal Bookcase,1,0.15,1003.46,-60.49
ORD-10044,2025-03-08,Customer 034,Corporate,South,Karnataka,Office Supplies,Storage,Storage Box,2,0.2,220.61,16.55
ORD-10045,2024-12-14,Customer 005,Corporate,Central,Madhya Pradesh,Furniture,Bookcases,Metal Bookcase,2,0.2,3273.04,-212.0
ORD-10046,2024-10-11,Customer 084,Consumer,North,Punjab,Furniture,Tables,Conference Table,7,0.1,9567.31,-693.55
ORD-10047,2024-06-08,Customer 103,Home Office,Central,Chhattisgarh,Furniture,Tables,Study Table,7,0.0,29665.79,2279.62
ORD-10048,2024-08-08,Customer 163,Consumer,North,Punjab,Office Supplies,Art,Pens,4,0.0,6928.16,-363.75
ORD-10049,2026-02-20,Customer 155,Consumer,Central,Madhya Pradesh,Office Supplies,Storage,File Cabinet,4,0.05,2294.21,-20.61
ORD-10050,2024-12-10,Customer 145,Home Office,North,Delhi,Furniture,Tables,Conference Table,10,0.1,34410.6,5684.91
ORD-10051,2024-04-14,Customer 204,Corporate,Central,Chhattisgarh,Furniture,Tables,Study Table,8,0.1,3129.12,460.92
ORD-10052,2024-04-04,Customer 213,Corporate,Central,Madhya Pradesh,Office Supplies,Art,Markers,5,0.0,11812.7,-703.09
ORD-10053,2025-01-24,Customer 203,Home Office,North,Haryana,Technology,Accessories,Mouse,9,0.15,15177.29,1814.5
ORD-10054,2024-04-09,Customer 016,Corporate,North,Punjab,Furniture,Bookcases,Wooden Bookcase,6,0.15,15629.1,-401.51
ORD-10055,2025-01-02,Customer 135,Home Office,North,Punjab,Furniture,Chairs,Office Chair,1,0.1,1182.55,327.28
ORD-10056,2026-05-17,Customer 014,Home Office,Central,Madhya Pradesh,Office Supplies,Storage,Storage Box,7,0.05,13984.75,2299.14
ORD-10057,2024-12-18,Customer 155,Consumer,East,West Bengal,Office Supplies,Paper,Notebook,5,0.2,5339.12,1426.55
ORD-10058,2025-09-10,Customer 101,Consumer,East,West Bengal,Furniture,Bookcases,Wooden Bookcase,6,0.2,7776.67,1333.33
ORD-10059,2024-09-27,Customer 190,Home Office,Central,Madhya Pradesh,Office Supplies,Art,Pens,6,0.2,19606.13,3392.24
ORD-10060,2026-04-06,Customer 055,Corporate,Central,Madhya Pradesh,Furniture,Bookcases,Metal Bookcase,9,0.05,16013.81,499.5
ORD-10061,2024-02-14,Customer 139,Home Office,West,Maharashtra,Technology,Phones,Smartphone,2,0.0,3098.76,318.45
ORD-10062,2026-01-17,Customer 178,Home Office,Central,Madhya Pradesh,Furniture,Tables,Study Table,10,0.0,19459.3,-289.86
ORD-10063,2025-04-15,Customer 157,Corporate,South,Telangana,Office Supplies,Paper,Notebook,6,0.0,20485.08,5511.55
ORD-10064,2025-07-03,Customer 147,Corporate,West,Maharashtra,Furniture,Chairs,Ergonomic Chair,8,0.0,36235.76,1899.58
ORD-10065,2024-05-07,Customer 065,Consumer,West,Gujarat,Office Supplies,Art,Pens,3,0.15,10462.06,-315.71
ORD-10066,2026-08-02,Customer 132,Consumer,West,Gujarat,Furniture,Chairs,Office Chair,5,0.0,2554.95,46.51
ORD-10067,2025-01-22,Customer 061,Corporate,West,Maharashtra,Technology,Laptops,Business Laptop,1,0.1,1919.69,193.36
ORD-10068,2024-03-21,Customer 038,Consumer,North,Punjab,Technology,Phones,Feature Phone,2,0.2,6739.14,274.31
ORD-10069,2025-07-19,Customer 005,Corporate,North,Punjab,Office Supplies,Art,Markers,8,0.0,18385.2,4524.76
ORD-10070,2024-10-27,Customer 013,Consumer,South,Karnataka,Furniture,Bookcases,Metal Bookcase,2,0.0,7806.5,221.82
ORD-10071,2026-04-29,Customer 005,Home Office,West,Rajasthan,Furniture,Tables,Study Table,2,0.1,7559.59,1019.23
ORD-10072,2025-10-05,Customer 107,Consumer,Central,Madhya Pradesh,Furniture,Chairs,Ergonomic Chair,7,0.05,716.01,4.73
ORD-10073,2025-09-25,Customer 096,Corporate,North,Haryana,Office Supplies,Paper,A4 Paper,7,0.0,30655.24,4562.77
ORD-10074,2026-06-25,Customer 035,Consumer,North,Punjab,Technology,Laptops,Gaming Laptop,2,0.2,6208.58,1194.56
ORD-10075,2026-06-01,Customer 208,Consumer,East,Bihar,Office Supplies,Art,Markers,8,0.1,35323.27,5207.53
ORD-10076,2025-01-05,Customer 081,Corporate,North,Haryana,Office Supplies,Paper,Notebook,4,0.0,1258.6,300.66
ORD-10077,2025-08-14,Customer 200,Consumer,Central,Chhattisgarh,Furniture,Tables,Conference Table,1,0.0,3791.13,87.2
ORD-10078,2024-07-15,Customer 048,Corporate,East,Odisha,Technology,Laptops,Business Laptop,7,0.1,23575.92,991.44
ORD-10079,2025-12-22,Customer 047,Home Office,West,Gujarat,Furniture,Tables,Study Table,7,0.15,2896.1,805.8
ORD-10080,2024-03-12,Customer 043,Home Office,East,Odisha,Technology,Phones,Feature Phone,5,0.15,6807.78,1214.23
ORD-10081,2024-02-16,Customer 203,Consumer,West,Gujarat,Office Supplies,Paper,Notebook,10,0.05,47413.93,7122.0
ORD-10082,2025-11-08,Customer 008,Consumer,North,Haryana,Furniture,Tables,Conference Table,9,0.2,28982.66,-649.35
ORD-10083,2024-08-21,Customer 146,Consumer,Central,Chhattisgarh,Technology,Phones,Smartphone,4,0.05,14875.97,749.37
ORD-10084,2026-03-02,Customer 136,Corporate,Central,Madhya Pradesh,Furniture,Tables,Conference Table,6,0.0,13651.8,1728.48
ORD-10085,2024-10-23,Customer 100,Home Office,West,Gujarat,Furniture,Tables,Study Table,2,0.0,453.96,45.24
ORD-10086,2024-03-22,Customer 126,Consumer,North,Punjab,Office Supplies,Art,Pens,4,0.05,18932.32,3215.33
ORD-10087,2026-05-25,Customer 082,Home Office,North,Delhi,Technology,Laptops,Gaming Laptop,8,0.2,31914.18,8563.28
ORD-10088,2024-08-26,Customer 180,Home Office,East,Bihar,Technology,Accessories,Mouse,5,0.0,22337.65,3937.04
ORD-10089,2026-06-06,Customer 007,Corporate,South,Tamil Nadu,Furniture,Chairs,Office Chair,4,0.0,15924.48,3257.1
ORD-10090,2024-04-13,Customer 184,Home Office,Central,Chhattisgarh,Office Supplies,Art,Markers,10,0.0,44328.1,1389.45
ORD-10091,2025-01-24,Customer 120,Home Office,West,Rajasthan,Office Supplies,Storage,File Cabinet,3,0.2,11675.18,-622.29
ORD-10092,2024-10-11,Customer 015,Consumer,Central,Chhattisgarh,Technology,Accessories,Mouse,10,0.0,9916.2,751.08
ORD-10093,2025-04-09,Customer 133,Corporate,Central,Madhya Pradesh,Office Supplies,Paper,A4 Paper,6,0.0,28081.32,1251.54
ORD-10094,2025-10-12,Customer 024,Home Office,North,Punjab,Technology,Accessories,Mouse,5,0.05,3388.32,478.41
ORD-10095,2026-05-04,Customer 145,Consumer,South,Telangana,Furniture,Chairs,Office Chair,10,0.15,30864.35,1282.2
ORD-10096,2025-01-08,Customer 164,Consumer,North,Delhi,Technology,Accessories,Mouse,5,0.15,13984.8,978.53
ORD-10097,2024-06-15,Customer 117,Consumer,West,Rajasthan,Furniture,Tables,Conference Table,8,0.2,8319.36,550.69
ORD-10098,2025-01-14,Customer 184,Corporate,North,Delhi,Office Supplies,Storage,Storage Box,8,0.15,7478.03,-211.47
ORD-10099,2024-12-29,Customer 064,Consumer,East,Odisha,Technology,Laptops,Gaming Laptop,6,0.0,7707.12,125.55
ORD-10100,2024-08-02,Customer 148,Home Office,North,Delhi,Office Supplies,Storage,Storage Box,4,0.0,19268.64,4101.37
ORD-10101,2025-11-17,Customer 101,Home Office,East,West Bengal,Technology,Laptops,Business Laptop,8,0.1,31733.78,-2273.93
ORD-10102,2024-09-30,Customer 216,Home Office,West,Maharashtra,Technology,Accessories,Keyboard,1,0.1,312.88,42.27
ORD-10103,2025-12-19,Customer 196,Corporate,West,Gujarat,Furniture,Chairs,Office Chair,7,0.05,5029.26,914.84
ORD-10104,2025-11-30,Customer 116,Home Office,East,West Bengal,Office Supplies,Paper,A4 Paper,6,0.0,16864.74,996.46
ORD-10105,2025-10-25,Customer 087,Home Office,East,Bihar,Furniture,Bookcases,Wooden Bookcase,3,0.1,13170.36,715.83
ORD-10106,2024-03-14,Customer 183,Corporate,East,West Bengal,Technology,Accessories,Mouse,7,0.0,17852.66,-1178.11
ORD-10107,2025-09-15,Customer 158,Home Office,West,Rajasthan,Office Supplies,Paper,A4 Paper,6,0.05,26583.15,-571.52
ORD-10108,2025-10-12,Customer 173,Consumer,East,Bihar,Office Supplies,Art,Pens,10,0.0,15689.7,825.42
ORD-10109,2024-06-24,Customer 199,Home Office,West,Rajasthan,Office Supplies,Art,Markers,10,0.2,19403.92,3916.59
ORD-10110,2025-06-30,Customer 216,Corporate,Central,Madhya Pradesh,Furniture,Chairs,Ergonomic Chair,3,0.2,6404.98,916.58
ORD-10111,2026-01-16,Customer 106,Home Office,South,Telangana,Technology,Phones,Smartphone,4,0.05,732.6,51.84
ORD-10112,2024-09-07,Customer 084,Home Office,South,Tamil Nadu,Furniture,Bookcases,Metal Bookcase,1,0.15,3024.56,-16.2
ORD-10113,2024-06-16,Customer 174,Home Office,West,Rajasthan,Office Supplies,Storage,File Cabinet,8,0.05,34727.52,4051.26
ORD-10114,2025-04-18,Customer 077,Corporate,East,Bihar,Office Supplies,Paper,A4 Paper,5,0.0,14173.1,3669.91
ORD-10115,2025-01-23,Customer 032,Home Office,South,Telangana,Furniture,Tables,Conference Table,8,0.2,11578.5,213.56
ORD-10116,2024-10-03,Customer 114,Home Office,Central,Chhattisgarh,Office Supplies,Storage,File Cabinet,5,0.2,1224.52,-63.12
ORD-10117,2026-08-05,Customer 036,Consumer,East,Bihar,Office Supplies,Paper,A4 Paper,9,0.15,10928.41,1864.62
ORD-10118,2025-10-17,Customer 121,Consumer,Central,Madhya Pradesh,Technology,Phones,Smartphone,4,0.1,1285.96,50.03
ORD-10119,2025-12-05,Customer 074,Corporate,South,Karnataka,Furniture,Chairs,Ergonomic Chair,8,0.0,19516.0,3749.57
ORD-10120,2025-07-24,Customer 045,Corporate,East,Bihar,Technology,Phones,Smartphone,9,0.0,33476.04,8327.59
ORD-10121,2024-08-12,Customer 155,Consumer,South,Karnataka,Office Supplies,Storage,File Cabinet,5,0.0,21980.2,602.72
ORD-10122,2025-12-02,Customer 208,Consumer,East,Odisha,Office Supplies,Art,Pens,3,0.1,11529.51,210.08
ORD-10123,2024-11-28,Customer 146,Home Office,East,West Bengal,Furniture,Tables,Conference Table,3,0.05,481.68,98.59
ORD-10124,2026-05-13,Customer 025,Consumer,South,Karnataka,Furniture,Bookcases,Metal Bookcase,7,0.0,18374.16,1181.46
ORD-10125,2026-02-25,Customer 085,Corporate,South,Tamil Nadu,Office Supplies,Paper,A4 Paper,5,0.1,8907.8,1704.53
ORD-10126,2026-03-05,Customer 041,Corporate,Central,Madhya Pradesh,Office Supplies,Art,Pens,4,0.0,1617.64,141.61
ORD-10127,2024-02-27,Customer 123,Consumer,Central,Chhattisgarh,Furniture,Chairs,Ergonomic Chair,6,0.0,18669.96,4941.0
ORD-10128,2024-08-22,Customer 212,Consumer,West,Rajasthan,Furniture,Tables,Conference Table,9,0.15,34981.15,7301.2
ORD-10129,2026-04-21,Customer 029,Consumer,South,Telangana,Furniture,Chairs,Ergonomic Chair,9,0.0,31936.05,7990.66
ORD-10130,2024-02-02,Customer 175,Consumer,Central,Madhya Pradesh,Furniture,Bookcases,Wooden Bookcase,3,0.15,4354.84,344.3
